"Seller Gstin","Invoice Number","Invoice Date","Transaction Type","Order Id","Shipment Id","Shipment Date","Order Date","Shipment Item Id","Quantity","Item Description","Asin","Hsn/sac","Sku","Product Tax Code","Bill From City","Bill From State","Bill From Country","Bill From Postal Code","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Invoice Amount","Tax Exclusive Gross","Total Tax Amount","Cgst Rate","Sgst Rate","Utgst Rate","Igst Rate","Compensatory Cess Rate","Principal Amount","Principal Amount Basis","Cgst Tax","Sgst Tax","Igst Tax","Utgst Tax","Compensatory Cess Tax","Shipping Amount","Shipping Amount Basis","Shipping Cgst Tax","Shipping Sgst Tax","Shipping Utgst Tax","Shipping Igst Tax","Shipping Cess Tax Amount","Gift Wrap Amount","Gift Wrap Amount Basis","Gift Wrap Cgst Tax","Gift Wrap Sgst Tax","Gift Wrap Utgst Tax","Gift Wrap Igst Tax","Gift Wrap Compensatory Cess Tax","Item Promo Discount","Item Promo Discount Basis","Item Promo Tax","Shipping Promo Discount","Shipping Promo Discount Basis","Shipping Promo Tax","Gift Wrap Promo Discount","Gift Wrap Promo Discount Basis","Gift Wrap Promo Tax","Tcs Cgst Rate","Tcs Cgst Amount","Tcs Sgst Rate","Tcs Sgst Amount","Tcs Utgst Rate","Tcs Utgst Amount","Tcs Igst Rate","Tcs Igst Amount","Warehouse Id","Fulfillment Channel","Payment Method Code","Credit Note No","Credit Note Date"
"27BIMPB4559A1ZG","BOM3-571","2017-11-01 09:52:08","Shipment","407-9610295-2027524","1970444526106","2017-11-01 12:13:40","2017-11-01 09:24:20","108002675331","1","SmartSmith USB 3 1 Type C Cable Original   Fast Charge and Data Transfer","B071HPCVWT","8544","8944638557241","A_GEN_STANDARD","BHIWANDI","MAHARASHTRA","IN","421302","Bhiwandi","Maharashtra","IN","421302","Bangalore","Karnataka","IN","560076","699.0000","592.3700","106.6300","0.0000","0.0000","0.0000","0.1800","0.0000","699.0000","592.3700","0.0000","0.0000","106.6300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","BOM3","AFN","CC","",""
"27BIMPB4559A1ZG","BOM3-569","2017-11-01 03:34:50","Shipment","406-0993316-4289121","1970064797106","2017-11-01 12:23:04","2017-10-31 23:34:14","107549007576","1","SmartSmith USB 3 1 Type C Cable Original   Fast Charge and Data Transfer","B071HPCVWT","8544","8944638557241","A_GEN_STANDARD","BHIWANDI","MAHARASHTRA","IN","421302","Bhiwandi","Maharashtra","IN","421302","THANE","MAHARASHTRA","IN","400606","699.0000","592.3800","106.6200","0.0900","0.0900","0.0000","0.0000","0.0000","699.0000","592.3800","53.3100","53.3100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","BOM3","AFN","GC_POA","",""
"27BIMPB4559A1ZG","BOM3-568","2017-11-01 02:40:28","Cancel","407-5614393-0989119","1970010278106","","","107859002420","1","","B071HPCVWT","","","A_GEN_STANDARD","BHIWANDI","MAHARASHTRA","IN","421302","Bhiwandi","Maharashtra","IN","421302","BHAVNAGAR","GUJARAT","IN","364002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000","","","0.0000","","","0.0000","","0.0000","","0.0000","","0.0000","","0.0000","","","","",""
"27BIMPB4559A1ZG","BOM3-567","2017-11-01 00:41:56","Shipment","402-1910301-2498736","1969865957106","2017-11-01 17:03:15","2017-10-31 20:41:24","107913124473","1","SmartSmith USB 3 1 Type C Cable Original   Fast Charge and Data Transfer","B06XYQFJPY","8544","8944638557227","A_ITPRODUCTS_GEN","BHIWANDI","MAHARASHTRA","IN","421302","Bhiwandi","Maharashtra","IN","421302","RAIPUR","CHHATTISGARH","IN","492001","699.0000","592.3700","106.6300","0.0000","0.0000","0.0000","0.1800","0.0000","699.0000","592.3700","0.0000","0.0000","106.6300","0.0000","0.0000","16.6700","14.1300","0.0000","0.0000","0.0000","2.5400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-16.6700","-14.1300","2.5400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","BOM3","AFN","COD","",""
"27BIMPB4559A1ZG","BOM3-574","2017-11-01 14:35:20","Shipment","403-2909817-8820367","1970848048106","2017-11-01 20:38:18","2017-11-01 10:34:48","107917296013","1","SmartSmith USB 3 1 Type C Cable Original   Fast Charge and Data Transfer","B06Y2CJ7XZ","8544","8944638557234","A_GEN_STANDARD","BHIWANDI","MAHARASHTRA","IN","421302","Bhiwandi","Maharashtra","IN","421302","MUMBAI","MAHARASHTRA","IN","400101","699.0000","592.3800","106.6200","0.0900","0.0900","0.0000","0.0000","0.0000","699.0000","592.3800","53.3100","53.3100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","BOM3","AFN","CC","",""
"27BIMPB4559A1ZG","BOM3-576","2017-11-01 16:18:10","Shipment","406-4972118-1806745","1971020153106","2017-11-01 20:38:24","2017-11-01 12:17:36","108290067844","1","SmartSmith USB 3 1 Type C Cable Original   Fast Charge and Data Transfer","B06Y2CJ7XZ","8544","8944638557234","A_GEN_STANDARD","BHIWANDI","MAHARASHTRA","IN","421302","Bhiwandi","Maharashtra","IN","421302","MUMBAI","MAHARASHTRA","IN","400050","699.0000","592.3800","106.6200","0.0900","0.0900","0.0000","0.0000","0.0000","699.0000","592.3800","53.3100","53.3100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","BOM3","AFN","CC","",""
"27BIMPB4559A1ZG","BOM3-573","2017-11-01 13:51:29","Shipment","403-9025510-7777118","1970777423106","2017-11-01 22:00:09","2017-11-01 09:50:56","108336512258","1","SmartSmith USB 3 1 Type C Cable Original   Fast Charge and Data Transfer","B071HPCVWT","8544","8944638557241","A_GEN_STANDARD","BHIWANDI","MAHARASHTRA","IN","421302","Bhiwandi","Maharashtra","IN","421302","MUMBAI","MAHARASHTRA","IN","400002","699.0000","592.3800","106.6200","0.0900","0.0900","0.0000","0.0000","0.0000","699.0000","592.3800","53.3100","53.3100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","BOM3","AFN","GC_POA","",""
"27BIMPB4559A1ZG","BOM3-577","2017-11-01 20:06:46","Shipment","408-0847592-3533118","1971409679106","2017-11-02 01:33:44","2017-10-31 11:40:58","107880760937","1","SmartSmith USB 3 1 Type C Cable Original   Fast Charge and Data Transfer","B071HPCVWT","8544","8944638557241","A_GEN_STANDARD","BHIWANDI","MAHARASHTRA","IN","421302","Bhiwandi","Maharashtra","IN","421302","MUMBAI","MAHARASHTRA","IN","400076","0.0000","0.0000","0.0000","0.0900","0.0900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","BOM3","AFN","GC","",""
"27BIMPB4559A1ZG","BOM3-580","2017-11-01 22:30:53","Shipment","404-5004533-8164353","1971657529106","2017-11-02 02:22:41","2017-11-01 18:30:22","107992146313","1","SmartSmith USB 3 1 Type C Cable Original   Fast Charge and Data Transfer","B071HPCVWT","8544","8944638557241","A_GEN_STANDARD","BHIWANDI","MAHARASHTRA","IN","421302","Bhiwandi","Maharashtra","IN","421302","VADODARA","GUJARAT","IN","390011","699.0000","592.3700","106.6300","0.0000","0.0000","0.0000","0.1800","0.0000","699.0000","592.3700","0.0000","0.0000","106.6300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","BOM3","AFN","COD","",""
"27BIMPB4559A1ZG","BOM3-581","2017-11-02 00:03:00","Shipment","407-3706685-2345965","1971823240106","2017-11-02 11:29:07","2017-11-01 20:02:26","107881184183","1","SmartSmith USB 3 1 Type C Cable Original   Fast Charge and Data Transfer","B06Y2CJ7XZ","8544","8944638557234","A_GEN_STANDARD","BHIWANDI","MAHARASHTRA","IN","421302","Bhiwandi","Maharashtra","IN","421302","GURGAON","HARYANA","IN","122003","699.0000","592.3700","106.6300","0.0000","0.0000","0.0000","0.1800","0.0000","699.0000","592.3700","0.0000","0.0000","106.6300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","BOM3","AFN","NB","",""
